tag|num|kind|label|loc|start
EJA|1|Definition||main.tex:194|A \emph{Jordan algebra} $(E,*,1)$ is a real unital commutative (possibly non-associative) algebra satisfying the \emph{Jordan identity}: $(a
EJA|2|Note||main.tex:205|In the original (and frequently used) definition, one additionally requires a Euclidean Jordan algebra to be finite dimensional.
EJA|3|Example||main.tex:212|Let $F$ be the field of real numbers, the field of complex numbers, or the division algebra of the quaternions. Let $A\in M_n(F)$ be an $n\t
EJA|4|Example||main.tex:227|For any real Hilbert space $H$ (possibly infinite-dimensional), the set~$E:=H\oplus \R$ is a Euclidean Jordan Algebra
EJA|5|Definition||main.tex:244|Let $E$ be an EJA. We call $a\in E$ \emph{positive} (and write $a\geq 0$) when there exists a~$b\in E$ such that~$a=b*b$. We write $a\geq c$
EJA|6|Definition||main.tex:262|A positive unital linear map~$\omega\colon E\rightarrow \R$ is called a \emph{state} on~$E$. An \emph{effect} is a positive
EJA|7|Theorem|theor:chu|main.tex:291|Let $(E,*,1)$ be an EJA. Sums of positive elements are again positive, so that the set of positive elements forms a \emph{cone}. Furthermore
EJA|8|Definition||main.tex:308|For each $a\in E$ let $L_a: E\rightarrow E$ be the left-multiplication operator of $a$, that is: $L(a)b:= a*b$. The seemingly oddly named bu
EJA|9|Proposition|prop:quadraticrep|main.tex:323|For any EJA~$E$ and~$a,b,c \in E$, the following hold. \item $Q_1 = \id$. \item $Q_a1 = a^2$.
EJA|10|Definition||main.tex:356|We call an element $p$ of an EJA an \emph{idempotent} iff $p^2:=p*p=p$. An idempotent is automatically positive and below the identity. We c
EJA|11|Proposition|prop:EJAidempotent|main.tex:365|Let $p$ be an idempotent. Then $Q_p$ is idempotent, and furthermore for $0\leq a \leq 1$ we have
EJA|12|Proposition||main.tex:402|Let $a$ be an element of an EJA. Then there exists a number~$n$, real numbers~$\lambda_1, \ldots, \lambda_n$ and orthogonal atomic
EJA|13|Proposition|prop:EJAceilfloor|main.tex:418|For an effect~$a \in E$ of an EJA~$E$ (i.e.~$0 \leq a \leq 1$), we can find~$\lambda_i>0$ and orthogonal atomic idempotents~$p_i$ with~$a=\s
EJA|14|Definition||main.tex:451|Let $q\in E$ be an effect. A \emph{corner} for $q$ is a positive subunital linear map $\pi\colon E\rightarrow \{E\lvert q\}$ such that $\pi(
EJA|15|Note||main.tex:458|The name of `corner' is inspired by the appearance of these maps when considering matrix algebras, in which case they can be arranged to pro
EJA|16|Definition||main.tex:469|Let $q\in E$ be an effect. A \emph{filter} for $q$ is a positive subunital linear map $\xi\colon E_q\rightarrow E$ such that $\xi(1)\leq q$ 
EJA|17|Note||main.tex:476|The name `filter' comes from the function of these maps in quantum theory as describing the act of updating the action of effects based on p
EJA|18|Definition|def:purity|main.tex:484|We call a positive subunital linear map between EJAs~$f\colon E\rightarrow F$ \emph{pure} when there exists some corner~$\pi$ and some filte
EJA|19|Proposition|prop:peircedecomp|main.tex:490|\cite[Proposition 1.43]{alfsen2012geometry} (Peirce-decomposition) Let~$E$ be an EJA with an idempotent~$p \in E$. Then $E_1(p):=Q_p(E):=\{Q
EJA|20|Definition||main.tex:496|Let $E$ be an EJA with an effect~$q \in E$. Then~$\{E\lvert q\} := E_1(\floor{q}) = \{E\lvert \floor{q}\}$ and $E_q := E_1(\floor{q^\perp}^\
EJA|21|Lemma||main.tex:505|Let~$\omega\colon E\rightarrow \R$ be any positive linear map such that $\omega(p)=\omega(1)$ for some idempotent $p$. Then~$\omega(Q_pa)=\o
EJA|22|Corollary|cor:factorimage|main.tex:521|Let~$g\colon E\rightarrow W$ be a positive linear map between EJAs such that $g(p)=g(1)$ for some idempotent $p$. Then $g(Q_pa)= g(a)$ for a
